127.0.0.1 - - [10/Feb/2024:12:55:57 +0000] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Feb/2024:12:55:59 +0000] "GET /Zumba_App/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2024:12:55:59 +0000] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Feb/2024:12:56:24 +0000] "POST /Zumba_App/Check.jsp HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [10/Feb/2024:12:57:08 +0000] "GET /Zumba_App/addBatch.jsp HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [10/Feb/2024:12:57:11 +0000] "GET /Zumba_App/home.jsp HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [10/Feb/2024:12:57:13 +0000] "GET /Zumba_App/ParticipantsController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Feb/2024:12:57:13 +0000] "GET /Zumba_App/addParticipants.jsp HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [10/Feb/2024:12:57:15 +0000] "GET /Zumba_App/home.jsp HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [10/Feb/2024:12:57:17 +0000] "GET /Zumba_App/BatchController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Feb/2024:12:57:17 +0000] "GET /Zumba_App/BatchAndParticipantsInfo.jsp HTTP/1.1" 200 904
0:0:0:0:0:0:0:1 - - [10/Feb/2024:12:57:20 +0000] "GET /Zumba_App/home.jsp HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [10/Feb/2024:13:21:15 +0000] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Feb/2024:13:21:58 +0000] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Feb/2024:13:22:10 +0000] "GET /Zumba_App/ HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [10/Feb/2024:13:22:11 +0000] "GET /Zumba_App/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2024:13:26:13 +0000] "GET /Zumba_App/ HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [10/Feb/2024:13:27:14 +0000] "POST /Zumba_App/Check.jsp HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [10/Feb/2024:13:27:47 +0000] "GET /Zumba_App/addBatch.jsp HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [10/Feb/2024:13:50:03 +0000] "GET /Zumba_App/home.jsp HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [10/Feb/2024:13:50:16 +0000] "GET /Zumba_App/ParticipantsController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Feb/2024:13:50:16 +0000] "GET /Zumba_App/addParticipants.jsp HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [10/Feb/2024:13:50:55 +0000] "POST /Zumba_App/ParticipantsController HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [10/Feb/2024:13:51:00 +0000] "GET /Zumba_App/home.jsp HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [10/Feb/2024:13:51:02 +0000] "GET /Zumba_App/BatchController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Feb/2024:13:51:02 +0000] "GET /Zumba_App/BatchAndParticipantsInfo.jsp HTTP/1.1" 200 984
