127.0.0.1 - - [17/Feb/2024:10:29:15 +0000] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:29:17 +0000] "GET /Zumba_App/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:29:18 +0000] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:29:38 +0000] "POST /Zumba_App/Check.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:29:53 +0000] "GET /Zumba_App/addBatch.jsp HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:29:56 +0000] "GET /Zumba_App/home.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:29:58 +0000] "GET /Zumba_App/ParticipantsController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:29:58 +0000] "GET /Zumba_App/addParticipants.jsp HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:30:01 +0000] "GET /Zumba_App/home.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:30:02 +0000] "GET /Zumba_App/BatchController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:30:02 +0000] "GET /Zumba_App/BatchAndParticipantsInfo.jsp HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:30:04 +0000] "GET /Zumba_App/home.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:30:06 +0000] "GET /Zumba_App/deleteBatch.jsp HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:30:12 +0000] "GET /Zumba_App/index.html HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:31:42 +0000] "POST /Zumba_App/Check.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:31:52 +0000] "GET /Zumba_App/BatchController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:31:52 +0000] "GET /Zumba_App/BatchAndParticipantsInfo.jsp HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:31:54 +0000] "GET /Zumba_App/home.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:31:56 +0000] "GET /Zumba_App/deleteBatch.jsp HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:31:58 +0000] "GET /Zumba_App/home.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:32:00 +0000] "GET /Zumba_App/updateBatch.jsp HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:32:02 +0000] "GET /Zumba_App/home.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:32:03 +0000] "GET /Zumba_App/deleteParticipant.jsp HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:32:05 +0000] "GET /Zumba_App/home.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [17/Feb/2024:10:32:06 +0000] "GET /Zumba_App/updateParticipant.jsp HTTP/1.1" 200 751
